"price","salepoint_name","salepoint_address","lon","lat","id","name_org","source_code","white_brand_id"
"33.2","Дикси","Ильича проспект, 12а","61.6163195734642","55.1084376990529",48,"Дикси",167,26
"17.1","Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",79,6
"26.5","Пятерочка","МОПРа площадь, 10","61.4175820974","55.1636055976",45,"Пятерочка",154,24
112,"Копейка","Островского, 64","61.4025799999999","55.159889",80,"Копейка",103,13
"31.8","Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",126,19
"16.8","Магнит","21 Партсъезда, 6","61.5977640954563","55.0500965853535",46,"Магнит",169,28
"40.15","Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",136,21
"26.5","Пятерочка","Танкистов, 136","61.4719827934","55.1731176104",45,"Пятерочка",154,24
"59.95","Пятерочка","Каслинская, 97б","61.397059269464","55.1759938609945",45,"Пятерочка",87,9
"61.5","Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",65,2
"48.9","Магнит","Победы проспект, 168","61.3987210712","55.1849802393",46,"Магнит",158,25
"14.6","Дикси","Победы проспект, 28","61.6075513690537","55.1175757505818",48,"Дикси",114,15
"16.15","Копейка","Островского, 64","61.4025799999999","55.159889",80,"Копейка",99,12
"17.1","Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",79,6
"36.9","Дикси","Курчатова, 2 / Елькина, 98","61.3978946691376","55.1475111027366",48,"Дикси",165,26
"44.9","Пятерочка","Танкистов, 136","61.4719827934","55.1731176104",45,"Пятерочка",85,9
38,"Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",126,19
"76.1","Магнит","Комсомольский проспект, 50","61.3305808","55.1950652",46,"Магнит",65,2
"49.89","Молния","Рылеева, 18","61.3831969724999","55.1264374528",47,"Молния",85,9
"59.95","Пятерочка","Кронштадтская, 30","61.4673000614726","55.1240424349863",45,"Пятерочка",87,9
"33.2","Дикси","Бурденюка, 5","61.3102472833426","55.2398868455549",48,"Дикси",167,26
"61.5","Магнит","Победы проспект, 168","61.3987210712","55.1849802393",46,"Магнит",65,2
"7.75","Пятерочка","Металлургов шоссе, 5","61.4010461688101","55.249003398523",45,"Пятерочка",99,12
"40.89","Молния","Славы проспект, 8","61.6113247209775","55.1129614229473",47,"Молния",165,26
"125.9","Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",103,13
"9.9","Пятерочка","Кронштадтская, 30","61.4673000614726","55.1240424349863",45,"Пятерочка",114,15
"9.9","Пятерочка","Сталеваров, 45","61.4044414302","55.2464731059",45,"Пятерочка",114,15
"14.6","Дикси","Горького, 24","61.4424879183924","55.1709997046666",48,"Дикси",114,15
"59.95","Пятерочка","МОПРа площадь, 10","61.4175820974","55.1636055976",45,"Пятерочка",87,9
"34.99","Молния","Рылеева, 18","61.3831969724999","55.1264374528",47,"Молния",140,22
"40.15","Магнит","Славы проспект, 5","61.6127678804013","55.1144327341225",46,"Магнит",136,21
"59.95","Пятерочка","Сталеваров, 45","61.4044414302","55.2464731059",45,"Пятерочка",87,9
"33.2","Дикси","Горького, 24","61.4424879183924","55.1709997046666",48,"Дикси",167,26
"34.6","Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",165,26
"125.9","Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",103,13
"9.9","Пятерочка","Металлургов шоссе, 5","61.4010461688101","55.249003398523",45,"Пятерочка",114,15
"14.4","Магнит","Победы проспект, 168","61.3987210712","55.1849802393",46,"Магнит",114,15
"38.35","Пятерочка","Кронштадтская, 30","61.4673000614726","55.1240424349863",45,"Пятерочка",203,19
"14.4","Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",114,15
"17.1","Магнит","Славы проспект, 5","61.6127678804013","55.1144327341225",46,"Магнит",79,6
"33.2","Дикси","Славы проспект, 31","61.6096370927904","55.1035199808214",48,"Дикси",167,26
"40.15","Магнит","Тореза пер, 2","61.6177654461634","55.1768120648434",46,"Магнит",136,21
"48.9","Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",158,25
"44.9","Пятерочка","МОПРа площадь, 10","61.4175820974","55.1636055976",45,"Пятерочка",85,9
"40.15","Магнит","Калинина, 5а","61.4046226034","55.1793840485",46,"Магнит",154,24
"56.9","Молния","Рылеева, 18","61.3831969724999","55.1264374528",47,"Молния",87,9
"59.95","Пятерочка","Танкистов, 136","61.4719827934","55.1731176104",45,"Пятерочка",87,9
"106.85","Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",140,22
"125.9","Магнит","Калинина, 5а","61.4046226034","55.1793840485",46,"Магнит",103,13
"16.8","Магнит","Калинина, 5а","61.4046226034","55.1793840485",46,"Магнит",169,28
"36.9","Дикси","Бурденюка, 5","61.3102472833426","55.2398868455549",48,"Дикси",165,26
"57.1","Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",158,25
"7.75","Пятерочка","Сталеваров, 45","61.4044414302","55.2464731059",45,"Пятерочка",99,12
"33.2","Дикси","Шагольская, 41","61.2986903036","55.2349046774",48,"Дикси",167,26
"42.9","Пятерочка","Кронштадтская, 30","61.4673000614726","55.1240424349863",45,"Пятерочка",136,21
"40.15","Магнит","Комсомольский проспект, 50","61.3305808","55.1950652",46,"Магнит",154,24
"16.8","Магнит","Победы проспект, 168","61.3987210712","55.1849802393",46,"Магнит",169,28
"40.15","Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",136,21
"48.9","Магнит","Чернышевского, 15а","61.6783064869531","55.1343078119528",46,"Магнит",158,25
"48.9","Магнит","Славы проспект, 5","61.6127678804013","55.1144327341225",46,"Магнит",158,25
"14.6","Дикси","Коммунистическая, 29","61.5226051472569","55.0578104542604",48,"Дикси",114,15
"14.4","Магнит","Аэропорт пос, 15а","61.5151317562011","55.2877921544359",46,"Магнит",114,15
"17.1","Магнит","Аэропорт пос, 15а","61.5151317562011","55.2877921544359",46,"Магнит",79,6
"26.7","Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",154,24
"14.4","Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",114,15
"34.99","Молния","Славы проспект, 8","61.6113247209775","55.1129614229473",47,"Молния",140,22
"61.5","Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",65,2
"61.5","Магнит","Славы проспект, 5","61.6127678804013","55.1144327341225",46,"Магнит",65,2
"26.5","Пятерочка","Каслинская, 97б","61.397059269464","55.1759938609945",45,"Пятерочка",154,24
"125.9","Магнит","Тореза пер, 2","61.6177654461634","55.1768120648434",46,"Магнит",103,13
"7.75","Пятерочка","Танкистов, 136","61.4719827934","55.1731176104",45,"Пятерочка",99,12
38,"Магнит","Победы проспект, 168","61.3987210712","55.1849802393",46,"Магнит",126,19
"125.9","Магнит","21 Партсъезда, 6","61.5977640954563","55.0500965853535",46,"Магнит",103,13
125,"Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",103,13
"16.8","Магнит","Тореза пер, 2","61.6177654461634","55.1768120648434",46,"Магнит",169,28
"14.4","Магнит","Тореза пер, 2","61.6177654461634","55.1768120648434",46,"Магнит",114,15
"17.1","Магнит","21 Партсъезда, 6","61.5977640954563","55.0500965853535",46,"Магнит",79,6
38,"Магнит","Тореза пер, 2","61.6177654461634","55.1768120648434",46,"Магнит",126,19
"41.29","Молния","Славы проспект, 8","61.6113247209775","55.1129614229473",47,"Молния",158,25
38,"Магнит","Ленина, 51","61.6214436884804","55.112685649686",46,"Магнит",126,19
"57.8","Пятерочка Макси","Худякова, 12 к2","61.3731727675","55.1487836378",45,"Пятерочка",65,2
112,"Молния","50 лет ВЛКСМ, 17","61.384471","55.241396",47,"Молния",103,13
112,"Молния","Жукова, 8","61.3897440000001","55.257873",47,"Молния",103,13
112,"Молния","Сталеваров, 5","61.4038900785999","55.2635037689",47,"Молния",103,13
112,"Молния","Сталеваров, 66","61.402347","55.251562",47,"Молния",103,13
"71.1","Новый век","Комаровского, 11","61.3740007","55.240575",116,"Новый век",103,13
"9.9","Пятерочка Макси","Черкасская, 15","61.3781282278001","55.2302719587",45,"Пятерочка",114,15
"9.9","Пятерочка","Черкасская, 4 / Комаровского, 1","61.3786545189","55.2408202655",45,"Пятерочка",114,15
"9.9","Пятерочка","Богдана Хмельницкого, 27 / Липецкая, 6","61.3843924938","55.2581408759",45,"Пятерочка",114,15
"9.9","Пятерочка","Богдана Хмельницкого, 14 / Жукова, 5","61.3920648458","55.2586958445",45,"Пятерочка",114,15
"9.9","Пятерочка","60 лет Октября, 10","61.3988989603","55.2646014324",45,"Пятерочка",114,15
"9.9","Пятерочка","Трудовая, 10","61.3949824993","55.2682232057",45,"Пятерочка",114,15
"9.9","Пятерочка","Сталеваров, 60","61.4028448539","55.2526731996",45,"Пятерочка",114,15
"9.9","Пятерочка","50 лет ВЛКСМ, 11","61.3878865611","55.2440419947",45,"Пятерочка",114,15
"9.9","Дикси","Приборостроителей, 1","61.4002189372795","55.2709411807007",48,"Дикси",114,15
"9.9","Дикси","Сталеваров, 47а","61.4045440068001","55.2451592384",48,"Дикси",114,15
"11.9","Дикси","50 лет ВЛКСМ, 37","61.3801714121","55.2369371115",48,"Дикси",114,15
"11.9","Дикси","50 лет ВЛКСМ, 6а","61.3877462314999","55.2462400772",48,"Дикси",114,15
"11.9","Дикси","Комаровского, 7а","61.3755823409999","55.2408902893",48,"Дикси",114,15
"11.9","Дикси","Металлургов шоссе, 47в","61.3717543501","55.2448357413",48,"Дикси",114,15
"11.9","Дикси","Дружбы, 3","61.3785632338","55.2497521345",48,"Дикси",114,15
"11.9","Дикси","Социалистическая, 66 / Румянцева, 29","61.3802748077001","55.2531984417",48,"Дикси",114,15
"11.9","Дикси","60 лет Октября, 26","61.3897507112999","55.2645003678",48,"Дикси",114,15
"11.9","Дикси","Сталеваров, 40 / Богдана Хмельницкого, 3","61.4022741276","55.2576664235",48,"Дикси",114,15
"11.59","Молния","50 лет ВЛКСМ, 17","61.384471","55.241396",47,"Молния",114,15
"11.59","Молния","Жукова, 8","61.3897440000001","55.257873",47,"Молния",114,15
"11.59","Молния","Сталеваров, 5","61.4038900785999","55.2635037689",47,"Молния",114,15
"11.59","Молния","Сталеваров, 66","61.402347","55.251562",47,"Молния",114,15
"12.9","Магнит","Румянцева, 33","61.380488557","55.2513356711",46,"Магнит",114,15
"14.15","Универсам Металлург","Дегтярёва, 96 / Жукова, 52","61.3965260817","55.2457821704",131,"Универсам Металлург",114,15
"13.9","Проспект","Воровского, 6","61.3950878000001","55.1573883",89,"Проспект",114,15
"10.4","Магнит","Гагарина (Ленинский), 52","61.4339435596","55.1224375773",46,"Магнит",114,15
"11.59","Молния","Гагарина, 40","61.433438","55.128434",47,"Молния",114,15
"11.9","Дикси","Дзержинского, 104","61.43368","55.132649",48,"Дикси",114,15
"13.99","Мир Еды","Дзержинского, 104","61.43368","55.132649",50,"Мир Еды",114,15
"11.9","Пятерочка","Дзержинского, 93а","61.4338816451","55.1313436726",45,"Пятерочка",114,15
"11.19","Молния Экспресс на Дзержинского","Дзержинского, 130","61.4254422","55.1340545",47,"Молния",114,15
"11.25","Пятерочка","Степана Разина 4","61.411804","55.1416293",45,"Пятерочка",114,15
16,"Морское дно","1-я окружная 3","61.4009430999999","55.1418955",84,"Морское дно",114,15
"13.99","Мир Еды","Курчатова, 5в","61.394666","55.147016",50,"Мир Еды",114,15
15,"Сулимовский","Сулимова 75","61.3921227000001","55.1459852",85,"Сулимовский",114,15
"12.1","Дикси","Шаумяна, 83","61.3952809789","55.143270328",48,"Дикси",114,15
"11.19","Молния","Свободы, 157","61.415319","55.152017",47,"Молния",114,15
"11.25","Пятерочка","Цвиллинга, 66б","61.4120205436554","55.1468843574831",45,"Пятерочка",114,15
"13.99","Мир Еды","Тимирязева, 29","61.4084545000001","55.1576823",50,"Мир Еды",114,15
16,"Мельница","Евтеева 7","61.4128806","55.1499866",132,"Мельница, сеть супермаркетов",114,15
"33.9","Проспект","Воровского, 6","61.3950878000001","55.1573883",89,"Проспект",126,19
"30.9","Дикси","Дзержинского, 104","61.43368","55.132649",48,"Дикси",126,19
"29.5","Пятерочка","Дзержинского, 93а","61.4338816451","55.1313436726",45,"Пятерочка",126,19
"29.05","Пятерочка","Степана Разина 4","61.411804","55.1416293",45,"Пятерочка",126,19
35,"Морское дно","1-я окружная 3","61.4009430999999","55.1418955",84,"Морское дно",126,19
"30.9","Дикси","Шаумяна, 83","61.3952809789","55.143270328",48,"Дикси",126,19
33,"Губернский","Доватора, 16","61.399014","55.139205",79,"Губернский",126,19
"31.3","Метрополис","Овчиникова 25","61.4061417","55.1433103",83,"Метрополис",126,19
