Пятерочка,ftp://upload.v-zabote.ru/data/pricelists/org-45/index.xml
Магнит,ftp://upload.v-zabote.ru/data/pricelists/org-46/index.xml
Молния,ftp://upload.v-zabote.ru/data/pricelists/org-47/index.xml
Дикси,ftp://upload.v-zabote.ru/data/pricelists/org-48/index.xml
Мир Еды,ftp://upload.v-zabote.ru/data/pricelists/org-50/index.xml
Гавань,ftp://upload.v-zabote.ru/data/pricelists/org-51/index.xml
ИП Баландаев,ftp://upload.v-zabote.ru/data/pricelists/org-52/index.xml
Башнефть,ftp://upload.v-zabote.ru/data/pricelists/org-53/index.xml
ООО Бедит,ftp://upload.v-zabote.ru/data/pricelists/org-54/index.xml
АЗС ИП Бородулина,ftp://upload.v-zabote.ru/data/pricelists/org-55/index.xml
Челнефть,ftp://upload.v-zabote.ru/data/pricelists/org-56/index.xml
ЧелтэкНефть,ftp://upload.v-zabote.ru/data/pricelists/org-57/index.xml
Эрон-М,ftp://upload.v-zabote.ru/data/pricelists/org-58/index.xml
ГАЗ-Проминвест,ftp://upload.v-zabote.ru/data/pricelists/org-59/index.xml
Газпромнефть,ftp://upload.v-zabote.ru/data/pricelists/org-60/index.xml
ИП Кудашкин,ftp://upload.v-zabote.ru/data/pricelists/org-61/index.xml
Лукойл,ftp://upload.v-zabote.ru/data/pricelists/org-62/index.xml
ИП Матис,ftp://upload.v-zabote.ru/data/pricelists/org-63/index.xml
ИП Мисова,ftp://upload.v-zabote.ru/data/pricelists/org-64/index.xml
ИП Насыров,ftp://upload.v-zabote.ru/data/pricelists/org-65/index.xml
Novem,ftp://upload.v-zabote.ru/data/pricelists/org-66/index.xml
Оптан,ftp://upload.v-zabote.ru/data/pricelists/org-67/index.xml
Прайс,ftp://upload.v-zabote.ru/data/pricelists/org-68/index.xml
ООО Рауд,ftp://upload.v-zabote.ru/data/pricelists/org-69/index.xml
Роснефть,ftp://upload.v-zabote.ru/data/pricelists/org-70/index.xml
ИП Румянцев,ftp://upload.v-zabote.ru/data/pricelists/org-71/index.xml
Salavat,ftp://upload.v-zabote.ru/data/pricelists/org-72/index.xml
Сфера,ftp://upload.v-zabote.ru/data/pricelists/org-73/index.xml
ИП Шарафутдинов,ftp://upload.v-zabote.ru/data/pricelists/org-74/index.xml
Сибнефть74,ftp://upload.v-zabote.ru/data/pricelists/org-75/index.xml
УралТракПром,ftp://upload.v-zabote.ru/data/pricelists/org-76/index.xml
Vintek,ftp://upload.v-zabote.ru/data/pricelists/org-77/index.xml
Губернский,ftp://upload.v-zabote.ru/data/pricelists/org-79/index.xml
Копейка,ftp://upload.v-zabote.ru/data/pricelists/org-80/index.xml
АШАН,ftp://upload.v-zabote.ru/data/pricelists/org-81/index.xml
recall2_organ,ftp://upload.v-zabote.ru/data/pricelists/org-82/index.xml
Метрополис,ftp://upload.v-zabote.ru/data/pricelists/org-83/index.xml
Морское дно,ftp://upload.v-zabote.ru/data/pricelists/org-84/index.xml
Сулимовский,ftp://upload.v-zabote.ru/data/pricelists/org-85/index.xml
Виленд,ftp://upload.v-zabote.ru/data/pricelists/org-86/index.xml
Садко,ftp://upload.v-zabote.ru/data/pricelists/org-87/index.xml
Монетка,ftp://upload.v-zabote.ru/data/pricelists/org-88/index.xml
Проспект,ftp://upload.v-zabote.ru/data/pricelists/org-89/index.xml
Золотая подкова,ftp://upload.v-zabote.ru/data/pricelists/org-90/index.xml
Вега,ftp://upload.v-zabote.ru/data/pricelists/org-91/index.xml
Вега,ftp://upload.v-zabote.ru/data/pricelists/org-92/index.xml
Уралавто,ftp://upload.v-zabote.ru/data/pricelists/org-93/index.xml
sfdwefewf,ftp://upload.v-zabote.ru/data/pricelists/org-94/index.xml
Славянский,ftp://upload.v-zabote.ru/data/pricelists/org-95/index.xml
Чичеринский,ftp://upload.v-zabote.ru/data/pricelists/org-96/index.xml
Мегамарт,ftp://upload.v-zabote.ru/data/pricelists/org-97/index.xml
Южуралрегион,ftp://upload.v-zabote.ru/data/pricelists/org-98/index.xml
Челябинскоблгаз,ftp://upload.v-zabote.ru/data/pricelists/org-99/index.xml
Челябинскоблгаз,ftp://upload.v-zabote.ru/data/pricelists/org-100/index.xml
Наш гипермаркет,ftp://upload.v-zabote.ru/data/pricelists/org-101/index.xml
Максим,ftp://upload.v-zabote.ru/data/pricelists/org-102/index.xml
Виктория,ftp://upload.v-zabote.ru/data/pricelists/org-103/index.xml
Турист,ftp://upload.v-zabote.ru/data/pricelists/org-104/index.xml
Эфосс,ftp://upload.v-zabote.ru/data/pricelists/org-105/index.xml
НОВАТЭК,ftp://upload.v-zabote.ru/data/pricelists/org-106/index.xml
Рождественский,ftp://upload.v-zabote.ru/data/pricelists/org-107/index.xml
Перекресток,ftp://upload.v-zabote.ru/data/pricelists/org-108/index.xml
Океан,ftp://upload.v-zabote.ru/data/pricelists/org-109/index.xml
Набережный,ftp://upload.v-zabote.ru/data/pricelists/org-110/index.xml
НОВОТЭК,ftp://upload.v-zabote.ru/data/pricelists/org-111/index.xml
ЧелСГ-Транс,ftp://upload.v-zabote.ru/data/pricelists/org-112/index.xml
АЗС Планета,ftp://upload.v-zabote.ru/data/pricelists/org-113/index.xml
Челябнефтепродукт,ftp://upload.v-zabote.ru/data/pricelists/org-114/index.xml
Вечерний Челябинск,ftp://upload.v-zabote.ru/data/pricelists/org-115/index.xml
Новый век,ftp://upload.v-zabote.ru/data/pricelists/org-116/index.xml
Фиеста,ftp://upload.v-zabote.ru/data/pricelists/org-117/index.xml
АЗС Демико,ftp://upload.v-zabote.ru/data/pricelists/org-118/index.xml
Кактус,ftp://upload.v-zabote.ru/data/pricelists/org-119/index.xml
Хуторок,ftp://upload.v-zabote.ru/data/pricelists/org-120/index.xml
Продуктовая лавка,ftp://upload.v-zabote.ru/data/pricelists/org-121/index.xml
